PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Anthony Peeler,MIN,SG,82,25.1,9.0,3.5,8.3,42.1,1.4,3.5,39.2,0.6,0.7,86.2,2.5,2.2,0.9,0.7,0.1,0,0,0.00
Eric Piatkowski,LAC,SG,71,24.2,8.8,2.9,6.6,43.9,1.6,3.4,46.6,1.4,1.6,89.4,2.6,1.6,0.9,0.6,0.2,1,0,0.00
Eddie Griffin,HOU,PF,73,26.0,8.8,3.3,9.1,36.6,1.2,3.7,33.0,0.9,1.2,74.4,5.7,0.7,0.6,0.2,1.8,7,0,0.00
Trenton Hassell,CHI,SF,78,28.7,8.7,3.4,8.1,42.5,0.8,2.1,36.4,1.1,1.5,76.3,3.3,2.2,1.3,0.7,0.6,0,0,0.00
Jamaal Magloire,CHA,C,82,18.9,8.5,2.8,5.0,55.1,0.0,0.0,0.0,3.0,4.1,73.0,5.6,0.4,1.4,0.3,1.0,8,0,0.00
Rasho Nesterovic,MIN,C,82,27.0,8.4,4.0,8.0,49.3,0.0,0.0,0.0,0.5,0.9,54.9,6.5,0.9,1.1,0.5,1.3,12,0,0.00
Mark Jackson,NY,PG,82,28.9,8.4,3.2,7.2,43.9,1.0,2.4,40.5,1.1,1.3,79.1,3.8,7.4,1.8,0.9,0.0,11,1,0.00
P.J. Brown,CHA,PF,80,32.0,8.4,3.1,6.6,47.4,0.0,0.0,0.0,2.1,2.5,85.8,9.8,1.3,1.1,0.7,1.0,17,0,0.00
DerMarr Johnson,ATL,SF,72,24.0,8.4,3.0,7.5,39.6,1.2,3.4,36.0,1.2,1.5,81.0,3.4,1.1,1.4,0.9,0.8,2,0,0.00
Jumaine Jones,CLE,SF,81,26.4,8.3,3.5,7.9,44.8,0.6,2.1,31.0,0.6,0.8,66.2,6.0,1.4,1.0,0.9,0.6,10,0,0.00
Moochie Norris,HOU,PG,82,27.4,8.1,3.1,7.7,39.8,0.4,1.6,26.9,1.5,2.1,75.1,3.0,4.9,1.9,1.0,0.0,5,0,0.00
Horace Grant,ORL,C,76,29.1,8.0,3.5,6.8,51.3,0.0,0.0,0.0,1.1,1.5,72.1,6.3,1.4,0.7,0.8,0.6,5,0,0.00
Rick Fox,LAL,SF,82,27.9,7.9,3.1,7.4,42.1,0.8,2.5,31.3,0.9,1.0,82.4,4.7,3.5,1.6,0.8,0.3,1,0,0.00
Travis Best,IND,PG,74,23.6,7.9,3.1,7.0,44.0,0.3,0.8,35.6,1.4,1.6,89.7,2.0,4.4,1.3,1.2,0.1,0,0,0.00
