"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[141]",0.363676435129741,0.3639365,0.363302763329323,1046.8,0.95,0.313752,0.406975,NA,NA,NA,NA,NA,NA,NA
"theta[142]",0.36439124251497,0.364492,0.365464434582647,1002,0.95,0.308651,0.419133,NA,NA,NA,NA,NA,NA,NA
"theta[143]",0.392015933133733,0.3903405,0.389541583860588,795.3,0.95,0.342676,0.446284,NA,NA,NA,NA,NA,NA,NA
"theta[144]",0.356352143712575,0.353393,0.348508619173502,1002,0.95,0.257288,0.445991,NA,NA,NA,NA,NA,NA,NA
"theta[145]",0.345969160678643,0.347856,0.355017474321695,738.8,0.95,0.274421,0.416152,NA,NA,NA,NA,NA,NA,NA
"theta[146]",0.358234520958084,0.357618,0.370678999422392,1002,0.95,0.290531,0.425559,NA,NA,NA,NA,NA,NA,NA
"theta[147]",0.368723249500998,0.3689145,0.365787247803542,1002,0.95,0.308489,0.428165,NA,NA,NA,NA,NA,NA,NA
"theta[148]",0.258522923952096,0.257904,0.245044881073863,899.1,0.95,0.141862,0.36751,NA,NA,NA,NA,NA,NA,NA
"theta[149]",0.338478187624751,0.338373,0.339530977513537,1014.1,0.95,0.290796,0.38876,NA,NA,NA,NA,NA,NA,NA
"theta[150]",0.354173577844311,0.3543075,0.352061041325036,1002,0.95,0.312053,0.404976,NA,NA,NA,NA,NA,NA,NA
"theta[151]",0.146516112146707,0.1176035,0.0456742075826732,1002,0.95,0.000130513,0.39499,NA,NA,NA,NA,NA,NA,NA
"theta[152]",0.24523720751497,0.2581635,0.285928795488203,1002,0.95,0.0586532,0.396301,NA,NA,NA,NA,NA,NA,NA
"theta[153]",0.160512012212575,0.126454,0.0563010154598544,1117.5,0.95,0.000160908,0.440058,NA,NA,NA,NA,NA,NA,NA
"theta[154]",0.310521236227545,0.317126,0.338791419640671,1002,0.95,0.0842618,0.499684,NA,NA,NA,NA,NA,NA,NA
"theta[155]",0.395444824351297,0.394784,0.397139233177407,1002,0.95,0.341093,0.449914,NA,NA,NA,NA,NA,NA,NA
"theta[156]",0.328413881237525,0.328287,0.324995934655231,1002,0.95,0.263627,0.387083,NA,NA,NA,NA,NA,NA,NA
"theta[157]",0.138135920542914,0.1176435,0.0539914300140013,69.2,0.95,0.000375491,0.337487,NA,NA,NA,NA,NA,NA,NA
"theta[158]",0.321422194710579,0.3234345,0.322308578704383,1002,0.95,0.228235,0.419883,NA,NA,NA,NA,NA,NA,NA
"theta[159]",0.357073557884232,0.3564345,0.352765122647444,979.6,0.95,0.303653,0.405386,NA,NA,NA,NA,NA,NA,NA
"theta[160]",0.362601873253493,0.36296,0.361155706043211,813.5,0.95,0.311026,0.411128,NA,NA,NA,NA,NA,NA,NA
