"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[150]",0.355514461658238,0.355425,0.353994585498969,70897.8,0.95,0.318891,0.391995,NA,NA,NA,NA,NA,NA,NA
"theta[151]",0.400611081311962,0.4003245,0.399900632912616,69156.2,0.95,0.361211,0.439346,NA,NA,NA,NA,NA,NA,NA
"theta[152]",0.351756126667809,0.351633,0.352564123205462,70002,0.95,0.313043,0.39124,NA,NA,NA,NA,NA,NA,NA
"theta[153]",0.348544394588726,0.3484685,0.34729862009302,70002,0.95,0.308336,0.388528,NA,NA,NA,NA,NA,NA,NA
"theta[154]",0.339089312419645,0.3394025,0.341493383837143,70002,0.95,0.283508,0.393278,NA,NA,NA,NA,NA,NA,NA
"theta[155]",0.304395299300334,0.2907175,0.264339055299375,22928.9,0.95,0.0382721,0.582274,NA,NA,NA,NA,NA,NA,NA
"theta[156]",0.126219478620854,0.117635,0.0985563328140473,17870.7,0.95,0.00297688,0.257582,NA,NA,NA,NA,NA,NA,NA
"theta[157]",0.38067329329162,0.380316,0.380739771918713,70002,0.95,0.331895,0.430051,NA,NA,NA,NA,NA,NA,NA
"theta[158]",0.366419733750464,0.366275,0.366918828094707,70002,0.95,0.327957,0.40625,NA,NA,NA,NA,NA,NA,NA
"theta[159]",0.324289992871632,0.3247225,0.323743846240414,70002,0.95,0.27689,0.371593,NA,NA,NA,NA,NA,NA,NA
"theta[160]",0.37489454224165,0.3746735,0.376044524289572,70002,0.95,0.327528,0.423998,NA,NA,NA,NA,NA,NA,NA
"theta[161]",0.340652366632382,0.340843,0.341908591249911,70002,0.95,0.292169,0.38688,NA,NA,NA,NA,NA,NA,NA
"theta[162]",0.377930005885546,0.3776205,0.376389394736228,70002,0.95,0.330046,0.426553,NA,NA,NA,NA,NA,NA,NA
"theta[163]",0.386919983929031,0.3866375,0.385107028699065,70002,0.95,0.347688,0.427287,NA,NA,NA,NA,NA,NA,NA
"theta[164]",0.297995537141796,0.298252,0.298935249112628,68224.9,0.95,0.246087,0.346904,NA,NA,NA,NA,NA,NA,NA
"theta[165]",0.336971410988258,0.337081,0.335955815847724,70822.7,0.95,0.292455,0.382309,NA,NA,NA,NA,NA,NA,NA
"theta[166]",0.358858630110568,0.3586805,0.35838399493757,66965.6,0.95,0.320362,0.396831,NA,NA,NA,NA,NA,NA,NA
"theta[167]",0.34853664696723,0.3481525,0.346701172351955,70002,0.95,0.293378,0.401977,NA,NA,NA,NA,NA,NA,NA
"theta[168]",0.3315542305077,0.3317325,0.333819134577029,70513.7,0.95,0.284067,0.379914,NA,NA,NA,NA,NA,NA,NA
"theta[169]",0.348304640010285,0.348288,0.348250337834141,71452.9,0.95,0.309111,0.387519,NA,NA,NA,NA,NA,NA,NA
"theta[170]",0.356321339861718,0.356197,0.357925412084679,69342.8,0.95,0.320027,0.394042,NA,NA,NA,NA,NA,NA,NA
"theta[171]",0.194520562224044,0.186154,0.160784727125526,25362.6,0.95,0.0102756,0.376131,NA,NA,NA,NA,NA,NA,NA
"theta[172]",0.344886351532813,0.3445695,0.346756386617132,70163.3,0.95,0.267468,0.420782,NA,NA,NA,NA,NA,NA,NA
"theta[173]",0.338667309334019,0.338625,0.33752866186494,70002,0.95,0.298964,0.378104,NA,NA,NA,NA,NA,NA,NA
"theta[174]",0.343048403074198,0.343051,0.34335044302432,71134.6,0.95,0.296006,0.390423,NA,NA,NA,NA,NA,NA,NA
"theta[175]",0.396641986386103,0.396043,0.39503902260084,70002,0.95,0.355771,0.437835,NA,NA,NA,NA,NA,NA,NA
"theta[176]",0.321940886788949,0.3219065,0.321771511035428,70002,0.95,0.272093,0.372371,NA,NA,NA,NA,NA,NA,NA
"theta[177]",0.405510731279106,0.4051075,0.40329588755917,70002,0.95,0.360147,0.450602,NA,NA,NA,NA,NA,NA,NA
"theta[178]",0.353374363103911,0.3532125,0.351962812088248,70002,0.95,0.311792,0.396077,NA,NA,NA,NA,NA,NA,NA
"theta[179]",0.354610229179166,0.354502,0.353749025245262,70002,0.95,0.312075,0.397445,NA,NA,NA,NA,NA,NA,NA
"theta[180]",0.305706441872275,0.2910855,0.272023378957756,19764.7,0.95,0.0423763,0.587775,NA,NA,NA,NA,NA,NA,NA
"theta[181]",0.328460919102311,0.3290775,0.330594769446582,70002,0.95,0.255014,0.404116,NA,NA,NA,NA,NA,NA,NA
"theta[182]",0.322127708508328,0.3222485,0.321028732532947,70002,0.95,0.276603,0.368353,NA,NA,NA,NA,NA,NA,NA
"theta[183]",0.33737396335819,0.3375015,0.339089403137579,70002,0.95,0.288987,0.386586,NA,NA,NA,NA,NA,NA,NA
"theta[184]",0.374166541855947,0.373858,0.372245349870806,68736.7,0.95,0.332524,0.416591,NA,NA,NA,NA,NA,NA,NA
"theta[185]",0.338317397460073,0.3384805,0.338160577028461,70002,0.95,0.29003,0.386095,NA,NA,NA,NA,NA,NA,NA
"theta[186]",0.359927951558527,0.3597675,0.360633310249134,68848.9,0.95,0.315311,0.404832,NA,NA,NA,NA,NA,NA,NA
"theta[187]",0.340766926516385,0.3409225,0.342572259792326,71091.8,0.95,0.296368,0.386024,NA,NA,NA,NA,NA,NA,NA
"theta[188]",0.339074909274021,0.339184,0.340615476550685,70002,0.95,0.297231,0.38004,NA,NA,NA,NA,NA,NA,NA
"theta[189]",0.338623552327076,0.338292,0.336511561869559,70002,0.95,0.293393,0.385444,NA,NA,NA,NA,NA,NA,NA
"theta[190]",0.339845252292792,0.3399355,0.341291586654773,70976.2,0.95,0.296278,0.38443,NA,NA,NA,NA,NA,NA,NA
"theta[191]",0.375969125524985,0.375764,0.376619181840604,70002,0.95,0.336136,0.417599,NA,NA,NA,NA,NA,NA,NA
"theta[192]",0.312359653609897,0.312663,0.313874523869152,70002,0.95,0.259473,0.363417,NA,NA,NA,NA,NA,NA,NA
"theta[193]",0.305085791524671,0.2916365,0.283041189713581,19666.1,0.95,0.0475031,0.590249,NA,NA,NA,NA,NA,NA,NA
